iter	coalStat	numCoal	migStat	numMig	logPrior	logGenLikelihood	logDataLikelihood	numCoal_A:1	deltaT_A:1	numCoal_B:1	deltaT_B:1	numCoal_C:1	deltaT_C:1	numCoal_D:1	deltaT_D:1	numCoal_AB:1	deltaT_AB:1	numCoal_ABC:1	deltaT_ABC:1	numCoal_root:1	deltaT_root:1
0	1.577328	7000	0.444916	0	74.132691	-1345222.833	-1407189.235	93	0.009207	80	0.009234	188	0.019412	565	0.073557	571	0.054757	3072	0.310054	2431	0.260389
1	1.602984	7000	0.457354	2	74.091185	-1343242.603	-1405138.998	92	0.00927	86	0.009272	181	0.020786	521	0.075045	574	0.060797	3084	0.299088	2462	0.272051
2	1.685176	7000	0.484069	2	73.83685	-1342798.973	-1404190.952	93	0.010339	86	0.010354	208	0.020403	524	0.076336	540	0.056443	3033	0.325412	2516	0.299782
3	1.77355	7000	0.51676	1	73.758853	-1342690.372	-1403602.861	89	0.01043	98	0.010301	171	0.020935	488	0.082863	546	0.056289	3066	0.343304	2542	0.326249
4	1.728052	7000	0.503522	4	73.661534	-1341970.27	-1403315.761	93	0.010377	102	0.010246	197	0.021737	518	0.081357	550	0.062023	3088	0.317294	2452	0.30602
5	1.746228	7000	0.513138	2	73.504114	-1341916.851	-1403127.221	108	0.010295	96	0.010334	189	0.021899	502	0.081814	546	0.061474	3078	0.319587	2481	0.318853
6	1.769212	7000	0.518938	0	73.478533	-1341886.287	-1402974.108	87	0.010399	92	0.010344	186	0.021983	476	0.084258	583	0.061873	3043	0.320395	2533	0.328199
7	1.775449	7000	0.529127	0	73.553722	-1341947.696	-1402914.007	91	0.009347	91	0.009341	203	0.021853	478	0.083718	581	0.066829	3039	0.320358	2517	0.340687
8	1.766078	7000	0.527806	1	73.52372	-1341831.045	-1402810.895	84	0.009438	98	0.00931	175	0.020986	452	0.084568	607	0.060502	3038	0.324874	2546	0.343228
9	1.825192	7000	0.551808	1	73.407683	-1342055.851	-1402774.634	88	0.009389	83	0.009401	182	0.021491	490	0.087471	608	0.06515	3058	0.333293	2491	0.359091
10	1.825386	7000	0.556007	0	73.18948	-1341969.829	-1402670.644	87	0.009435	108	0.009309	194	0.021579	477	0.08572	599	0.064383	3050	0.333107	2485	0.368628
11	1.894611	7000	0.570481	1	72.85134	-1342139.767	-1402582.041	84	0.009441	107	0.009296	205	0.021334	440	0.092956	588	0.064269	3018	0.350094	2558	0.379411
12	1.98259	7000	0.602112	0	72.623725	-1342575.485	-1402540.032	74	0.009491	106	0.00934	169	0.021959	452	0.093769	626	0.064229	2986	0.3768	2587	0.412153
13	1.966667	7000	0.594559	3	72.669746	-1342432.337	-1402529.04	70	0.0095	104	0.009378	169	0.021824	451	0.094771	638	0.063748	3001	0.370893	2567	0.404381
14	1.993159	7000	0.608588	4	72.656471	-1342565.501	-1402503.272	91	0.00941	95	0.00938	177	0.021871	440	0.095902	606	0.064206	2986	0.375897	2605	0.418429
15	2.007218	7000	0.61489	2	72.565765	-1342592.546	-1402441.435	84	0.009477	95	0.00934	183	0.021802	434	0.095115	621	0.064494	2964	0.378733	2619	0.429621
16	2.038218	7000	0.627249	1	72.379326	-1342685.96	-1402367.327	79	0.00949	110	0.009324	165	0.022048	444	0.095208	647	0.063987	2903	0.385187	2652	0.447684
17	2.136148	7000	0.660143	1	71.992254	-1343073.714	-1402375.161	93	0.009489	109	0.009437	179	0.021214	431	0.102548	618	0.059533	2905	0.42335	2665	0.466238
18	2.162784	7000	0.669797	1	71.74597	-1343186.642	-1402334.64	74	0.009568	95	0.009438	143	0.021472	464	0.10141	571	0.06117	3007	0.434201	2646	0.471635
19	2.247093	7000	0.679627	1	71.543031	-1343499.6	-1402335.41	63	0.009605	93	0.00946	157	0.021175	441	0.104729	567	0.062022	2929	0.469875	2750	0.480457
20	2.231562	7000	0.671985	2	71.348035	-1343318.014	-1402312.867	80	0.009051	91	0.008937	165	0.02218	440	0.105515	604	0.068134	2909	0.453746	2711	0.471949
