iter	coalStatFlat	numCoalFlat	migStatFlat	numMigFlat	logPrior	root_theta	logLikelihood	dataLogLikelihood	genealogyLogLikelihood
      0	1.520479	     7000	0.427366	        0	86.133789	0.000096	-1344801.626492	-1407059.518954	-62257.892462
      1	1.537722	     7000	0.436037	        0	85.922875	0.000096	-1342964.839383	-1405062.023241	-62097.183858
      2	1.583380	     7000	0.451944	        0	85.928523	0.000100	-1342361.862214	-1404149.078625	-61787.216411
      3	1.584259	     7000	0.452679	        0	85.892709	0.000104	-1341870.468696	-1403706.647378	-61836.178682
      4	1.653394	     7000	0.477234	        0	85.821730	0.000108	-1341859.983614	-1403306.580530	-61446.596916
      5	1.647170	     7000	0.484390	        0	85.623847	0.000111	-1341673.891556	-1403107.393149	-61433.501593
      6	1.688495	     7000	0.492457	        0	85.511272	0.000117	-1341854.222257	-1403016.873208	-61162.650951
      7	1.744569	     7000	0.513685	        0	85.381802	0.000117	-1341945.898189	-1402811.431570	-60865.533381
      8	1.756311	     7000	0.514067	        0	85.317072	0.000123	-1341928.966685	-1402740.381063	-60811.414378
      9	1.781283	     7000	0.527482	        0	85.272645	0.000124	-1342045.784904	-1402644.959911	-60599.175007
     10	1.798891	     7000	0.528082	        0	85.122896	0.000129	-1342050.211402	-1402628.975505	-60578.764103
     11	1.813236	     7000	0.548853	        0	85.089758	0.000133	-1342162.478749	-1402575.731757	-60413.253008
     12	1.887385	     7000	0.576306	        0	84.858581	0.000140	-1342322.087897	-1402418.240249	-60096.152352
     13	1.884996	     7000	0.574433	        0	84.743386	0.000140	-1342273.345263	-1402401.517676	-60128.172413
     14	1.914644	     7000	0.580964	        0	84.712542	0.000140	-1342409.660891	-1402382.352201	-59972.691311
     15	1.900648	     7000	0.583626	        0	84.683189	0.000140	-1342342.428632	-1402387.825125	-60045.396493
     16	1.933342	     7000	0.588115	        0	84.504555	0.000145	-1342474.233274	-1402400.482029	-59926.248755
     17	1.925590	     7000	0.591691	        0	84.319955	0.000149	-1342406.524486	-1402358.823548	-59952.299062
     18	2.040963	     7000	0.626032	        0	84.162701	0.000149	-1343004.040810	-1402351.181952	-59347.141142
     19	2.061505	     7000	0.628879	        0	84.023730	0.000155	-1342974.155536	-1402286.851806	-59312.696270
     20	2.054313	     7000	0.630619	        0	83.914022	0.000161	-1342882.630934	-1402271.369391	-59388.738457
     21	2.092451	     7000	0.642791	        0	83.769720	0.000161	-1343086.716160	-1402270.947847	-59184.231687
     22	2.219596	     7000	0.687972	        0	83.457952	0.000172	-1343601.452724	-1402228.578558	-58627.125834
     23	2.204408	     7000	0.686294	        0	83.347278	0.000173	-1343430.657137	-1402159.238561	-58728.581423
     24	2.201089	     7000	0.691609	        0	83.255544	0.000178	-1343433.102047	-1402176.773180	-58743.671133
     25	2.216552	     7000	0.693556	        0	83.065054	0.000178	-1343517.514271	-1402179.041373	-58661.527102
     26	2.290493	     7000	0.710893	        0	83.020541	0.000179	-1343834.675782	-1402175.734043	-58341.058260
     27	2.371752	     7000	0.747126	        0	82.859049	0.000179	-1343977.605201	-1402067.462821	-58089.857620
     28	2.459759	     7000	0.767480	        0	82.406949	0.000191	-1344271.601394	-1402084.660058	-57813.058663
     29	2.417808	     7000	0.750185	        0	82.364178	0.000197	-1344120.081532	-1402091.822562	-57971.741030
     30	2.456863	     7000	0.772395	        0	82.145884	0.000197	-1344363.554272	-1402091.315874	-57727.761603
     31	2.578163	     7000	0.814613	        0	81.858293	0.000197	-1344710.975506	-1402035.688988	-57324.713482
     32	2.556537	     7000	0.808625	        0	81.770929	0.000206	-1344563.882562	-1402000.966551	-57437.083989
     33	2.595428	     7000	0.811219	        0	81.530030	0.000206	-1344717.373244	-1402035.732205	-57318.358961
     34	2.629361	     7000	0.813647	        0	81.219812	0.000206	-1344820.673223	-1402018.783079	-57198.109856
     35	2.733992	     7000	0.841414	        0	81.068665	0.000211	-1345143.840851	-1402061.006045	-56917.165194
     36	2.675526	     7000	0.824114	        0	80.789738	0.000223	-1345002.762992	-1402085.384634	-57082.621642
     37	2.776745	     7000	0.865686	        0	80.604831	0.000223	-1345360.293108	-1402060.292972	-56699.999864
     38	2.806825	     7000	0.874169	        0	80.565750	0.000224	-1345433.789031	-1402014.691043	-56580.902011
     39	2.796741	     7000	0.870769	        0	80.365033	0.000234	-1345385.146192	-1402012.545867	-56627.399676
     40	2.899271	     7000	0.904258	        0	79.952390	0.000249	-1345681.352473	-1401994.619989	-56313.267517
     41	3.020144	     7000	0.943209	        0	79.827734	0.000256	-1345944.389123	-1401913.898345	-55969.509222
     42	3.036093	     7000	0.973968	        0	79.569323	0.000256	-1346014.978957	-1401911.879247	-55896.900290
     43	2.986113	     7000	0.951065	        0	79.592876	0.000256	-1345813.371906	-1401917.625749	-56104.253843
     44	3.096813	     7000	0.976055	        0	79.216914	0.000267	-1346202.710238	-1401935.948335	-55733.238097
     45	3.223343	     7000	1.014181	        0	78.810615	0.000279	-1346467.451564	-1401916.192019	-55448.740455
     46	3.269197	     7000	1.035510	        0	78.868604	0.000292	-1346595.598660	-1401926.426112	-55330.827452
     47	3.316478	     7000	1.066770	        0	78.706083	0.000302	-1346611.474104	-1401877.801924	-55266.327820
     48	3.275520	     7000	1.055290	        0	78.501030	0.000302	-1346474.895532	-1401836.247925	-55361.352393
     49	3.341951	     7000	1.067062	        0	78.408312	0.000308	-1346636.104438	-1401846.803780	-55210.699342
