Sample	theta_A	theta_B	theta_C	theta_D	theta_AB	theta_ABC	theta_root	tau_AB	tau_ABC	tau_root	m_D->B	Data-ld-ln	Full-ld-ln	Gene-ld-ln
0	 0.98112	 1.01674	 1.00279	 1.02084	 1.03452	 0.98957	 0.97526	 0.05054	 0.10072	 0.47936	 0.00000	-1345.147509	-1407191.036509	-62043.527881
1	 1.03085	 1.01674	 1.00279	 1.04246	 1.06232	 0.98957	 0.99730	 0.05054	 0.10607	 0.47936	19.95901	-1343.515399	-1405370.041241	-61854.642396
2	 1.07277	 0.97516	 0.97322	 1.08670	 1.08841	 0.99102	 0.99876	 0.05062	 0.10623	 0.50300	19.78513	-1343.041896	-1404301.985444	-61260.089711
3	 1.11847	 1.01020	 1.02691	 1.08670	 1.12981	 0.99102	 1.03136	 0.05083	 0.10623	 0.52432	19.68096	-1342.439934	-1403587.899880	-61147.966304
4	 1.12188	 1.01328	 1.06100	 1.09001	 1.16221	 1.03379	 1.03451	 0.05099	 0.10655	 0.52592	19.43391	-1341.877149	-1403305.183686	-61428.034881
5	 1.08985	 1.00104	 1.03886	 1.09349	 1.12669	 1.07036	 1.08997	 0.05115	 0.10689	 0.52760	19.60576	-1341.943926	-1403136.421846	-61192.495613
6	 1.12386	 1.07063	 1.10592	 1.09349	 1.08930	 1.10953	 1.08997	 0.05115	 0.10689	 0.52760	20.10003	-1341.951743	-1403002.798592	-61051.055159
7	 1.15815	 1.03242	 1.14671	 1.09349	 1.05298	 1.10953	 1.08997	 0.05905	 0.10689	 0.52760	19.47540	-1341.917285	-1402826.833427	-60909.548913
8	 1.10451	 1.05799	 1.22463	 1.13866	 1.05585	 1.11256	 1.13740	 0.05921	 0.10718	 0.55545	19.71027	-1342.174317	-1402701.441530	-60527.124691
9	 1.07068	 1.08720	 1.25643	 1.13866	 1.11325	 1.15868	 1.13740	 0.05921	 0.10718	 0.55545	20.22892	-1342.055648	-1402685.345602	-60629.697451
10	 1.03939	 1.04933	 1.29866	 1.14251	 1.13601	 1.16260	 1.17254	 0.05941	 0.10754	 0.55733	19.95307	-1342.055385	-1402627.036712	-60571.651970
11	 1.08211	 1.08913	 1.37442	 1.18704	 1.12504	 1.20694	 1.17746	 0.05966	 0.10800	 0.55967	20.21575	-1342.243116	-1402627.765379	-60384.649688
12	 1.08211	 1.05937	 1.37442	 1.22512	 1.18224	 1.25507	 1.19122	 0.05966	 0.10800	 0.55967	19.81841	-1342.298222	-1402614.635985	-60316.414104
13	 1.12520	 1.06142	 1.45903	 1.27310	 1.22105	 1.28144	 1.23791	 0.05977	 0.10820	 0.58076	19.49763	-1342.761646	-1402556.683513	-59795.037668
14	 1.07998	 1.08126	 1.41470	 1.27310	 1.22105	 1.28144	 1.23791	 0.05977	 0.10820	 0.58076	19.37009	-1342.599428	-1402494.994470	-59895.566026
15	 1.12961	 1.08343	 1.48968	 1.29697	 1.22350	 1.28401	 1.24039	 0.05989	 0.10842	 0.58192	18.87217	-1342.582182	-1402420.310361	-59838.128546
16	 1.17058	 1.05028	 1.58612	 1.29927	 1.26467	 1.28054	 1.24259	 0.06000	 0.10861	 0.58296	19.26489	-1342.598539	-1402448.933758	-59850.394555
17	 1.14311	 0.99456	 1.67014	 1.35991	 1.26672	 1.35275	 1.28510	 0.06010	 0.10879	 0.62430	18.75134	-1343.135837	-1402404.377453	-59268.540707
18	 1.08001	 0.99456	 1.63809	 1.40514	 1.26672	 1.35275	 1.33311	 0.06010	 0.10879	 0.62430	18.41571	-1342.794414	-1402418.208191	-59623.794456
19	 1.04059	 1.02302	 1.63459	 1.40214	 1.26401	 1.34986	 1.36006	 0.05997	 0.10856	 0.62297	18.04917	-1342.850531	-1402389.031109	-59538.499789
20	 1.10379	 1.02504	 1.68090	 1.50430	 1.24151	 1.35252	 1.36274	 0.06009	 0.10877	 0.62420	17.71887	-1342.903833	-1402376.951513	-59473.118718
21	 1.14668	 1.06701	 1.59166	 1.50430	 1.24151	 1.40418	 1.39839	 0.06009	 0.10877	 0.64739	17.34419	-1343.267808	-1402312.778936	-59044.971038
22	 1.14668	 1.08930	 1.54611	 1.50430	 1.26857	 1.40418	 1.39839	 0.06009	 0.10877	 0.64739	17.59373	-1343.223817	-1402343.937275	-59120.120701
23	 1.09367	 1.08581	 1.54115	 1.57725	 1.34282	 1.39967	 1.42961	 0.05989	 0.10842	 0.64531	17.46973	-1343.177058	-1402367.083719	-59190.025614
24	 1.13144	 1.03770	 1.59578	 1.64770	 1.34779	 1.40485	 1.48192	 0.06012	 0.10882	 0.67779	17.08572	-1343.528653	-1402336.017580	-58807.364972
25	 1.18197	 1.00063	 1.53150	 1.72400	 1.34916	 1.43613	 1.48343	 0.06018	 0.10893	 0.67848	16.84459	-1343.454910	-1402337.602199	-58882.692601
26	 1.23605	 1.04034	 1.58435	 1.79131	 1.34916	 1.43613	 1.55565	 0.06484	 0.10893	 0.69694	17.05081	-1343.502965	-1402277.183395	-58774.218374
27	 1.26220	 1.00065	 1.52926	 1.83079	 1.40723	 1.49309	 1.55565	 0.06484	 0.11531	 0.69694	16.84417	-1343.458775	-1402270.381985	-58811.607465
28	 1.26603	 0.96647	 1.55725	 1.83634	 1.36491	 1.49651	 1.62717	 0.06504	 0.11566	 0.73428	16.96046	-1343.825495	-1402205.356205	-58379.860924
29	 1.26861	 0.96843	 1.59287	 1.89482	 1.31475	 1.52877	 1.63047	 0.06517	 0.11590	 0.73578	17.31496	-1343.661214	-1402190.741200	-58529.526901
30	 1.31113	 0.97251	 1.59958	 1.90281	 1.34233	 1.53521	 1.69833	 0.06544	 0.11638	 0.73888	17.63782	-1343.838940	-1402282.347878	-58443.407482
31	 1.37127	 1.01107	 1.56264	 1.93342	 1.34233	 1.53521	 1.69833	 0.06544	 0.11638	 0.73888	17.78834	-1343.678576	-1402206.026902	-58527.450421
32	 1.30956	 1.05311	 1.62729	 1.93732	 1.39828	 1.58520	 1.78834	 0.06557	 0.11662	 0.74921	18.04795	-1343.964064	-1402179.443847	-58215.380230
33	 1.31335	 1.05616	 1.73253	 1.94293	 1.40232	 1.62166	 1.85426	 0.06576	 0.11696	 0.75138	18.32696	-1344.068043	-1402136.669937	-58068.626807
34	 1.26218	 1.05940	 1.77965	 1.94889	 1.46545	 1.62664	 1.85995	 0.06597	 0.11732	 0.75368	17.84654	-1344.316225	-1402118.504993	-57802.280487
35	 1.22145	 1.14166	 1.71272	 1.94889	 1.46545	 1.67572	 1.91416	 0.07205	 0.11732	 0.77261	18.11313	-1344.404900	-1402092.081544	-57687.181637
36	 1.25693	 1.19774	 1.71272	 1.98877	 1.41025	 1.67572	 1.99317	 0.07205	 0.11732	 0.77261	18.11313	-1344.335900	-1402162.700036	-57826.799718
37	 1.25396	 1.25526	 1.65953	 2.04358	 1.50761	 1.68277	 1.99317	 0.07205	 0.12723	 0.78852	17.71367	-1344.585647	-1402100.079723	-57514.432646
38	 1.25548	 1.20847	 1.66153	 2.15120	 1.50943	 1.68481	 1.99558	 0.07213	 0.12739	 0.76796	17.50586	-1344.451292	-1402120.211895	-57668.920208
39	 1.20965	 1.15649	 1.63774	 2.15631	 1.51301	 1.68881	 2.00032	 0.07525	 0.12769	 0.76765	17.80943	-1344.467100	-1402114.168705	-57647.068688
40	 1.18995	 1.17555	 1.64354	 2.22520	 1.51837	 1.72586	 2.00740	 0.07552	 0.12814	 0.77037	18.02746	-1344.461030	-1402119.871884	-57658.841832
41	 1.23350	 1.23373	 1.74597	 2.22520	 1.51837	 1.72586	 2.00740	 0.07552	 0.12814	 0.80126	18.46273	-1344.820807	-1402085.479935	-57264.672715
42	 1.27978	 1.26163	 1.74597	 2.22520	 1.55492	 1.72586	 2.00740	 0.07552	 0.12814	 0.80126	17.90254	-1344.616522	-1402081.449597	-57464.927824
43	 1.34407	 1.29782	 1.66215	 2.22037	 1.62428	 1.72212	 2.00304	 0.08035	 0.12786	 0.79953	17.58541	-1344.673478	-1402106.301215	-57432.823352
44	 1.28356	 1.23840	 1.74782	 2.22037	 1.54994	 1.72212	 2.00304	 0.08035	 0.12786	 0.79953	17.80554	-1344.653118	-1402115.544703	-57462.426417
45	 1.25317	 1.31334	 1.72462	 2.33384	 1.52204	 1.79137	 2.06685	 0.08063	 0.12831	 0.80229	17.49375	-1344.703929	-1402111.617191	-57407.687767
